archivo,line_count,keyword_count,unique_keywords,nested_structures,complex_constructs,score
repo1/rps_data.f90,4,3,3,0,0,13
repo1/rps_index_translate_mod.for,25,9,6,0,0,46
repo1/rpt_data.f90,15,13,6,0,3,49
repo1/rpth_obj.f90,32,8,7,0,1,57
repo1/rptreccontrol.f90,32,11,8,1,0,62
repo1/run_period_data.f90,10,8,5,0,0,28
repo1/screen_initialization.f90,61,18,10,2,0,105
repo1/screen_interface.f90,799,200,13,82,0,1271
repo1/screen_interface_data.f90,321,30,8,0,0,367
repo1/servcom.f90,19,16,5,0,0,45
repo1/servicac.for,2553,382,21,141,25,3475
repo1/service_decs.f90,1463,248,17,93,5,2039
repo1/service_defs.f90,12,2,2,0,0,18
repo1/sf_objt.f90,593,158,16,37,26,972
repo1/sf_objt_interfaces.f90,9,8,5,0,0,27
repo1/shared_vars_interg82.f90,10,4,3,0,0,20
repo1/sizecom.f90,15,7,5,0,0,32
repo1/snszmds.f90,1292,386,21,182,10,2296
repo1/so2_scrubber_coal_model_data.f90,19,15,7,0,0,48
repo1/spcapexvariables.f90,32,16,4,0,0,56
repo1/spindriftlib.f90,69,40,3,0,0,115
repo1/spinfunc.f90,930,446,19,64,3,1615
repo1/srp_common_stuff.f90,9,7,4,0,0,24
repo1/startovl.f90,310,132,16,32,1,573
repo1/startup_tasks.f90,61,24,8,3,0,110
repo1/string.f90,127,69,11,7,0,239
repo1/tastgp.f90,10,3,3,0,0,19
repo1/tf_decs.f90,40,19,9,1,0,80
repo1/tf_objt.for,13086,1754,26,819,199,17946
repo1/tf_objt2.for,16332,1686,24,1064,38,21372
repo1/tf_objt_interfaces.f90,8,7,4,0,0,23
repo1/tim.f90,6,4,3,0,0,16
repo1/tran2.f90,5,3,3,0,0,14
repo1/tran_c_variables.f90,3,2,2,0,0,9
repo1/trancom.f90,12,9,4,0,0,29
repo1/trans_peak_info.f90,7,3,3,0,0,16
repo1/trans_weekend_peak_days.f90,8,3,3,0,0,17
repo1/transobj.f90,11015,1341,24,723,30,14663
repo1/transobj2.f90,18090,3007,27,1384,228,25987
repo1/transobj2_static.f90,10,10,4,0,0,28
repo1/transobj_hourly.f90,17,13,5,0,0,40
repo1/trnsfrm3.f90,392,98,18,32,3,631
repo1/tva_ai_financial.f90,13,10,4,0,0,31
repo1/txloss.f90,20,7,4,0,0,35
repo1/up_objt.f90,762,293,21,78,12,1367
repo1/up_objt_decs.f90,10,9,5,0,0,29
repo1/weekscom.f90,14,10,5,0,0,34
repo1/wh_objt.f90,12551,3067,27,871,158,18759
repo1/wh_shared_data.f90,6,4,4,0,0,18
repo1/wkarry.f90,10,3,3,0,0,19
repo1/wvpa_data_bases.f90,655,148,17,68,7,1062
repo1/wvpacooprevenuecals.for,1499,260,18,119,13,2191
repo1/wvpartrk.f90,2974,488,19,121,49,4010
repo1/wvpartrk_interfaces.f90,27,16,4,0,0,51
